Year_Month,Incident_Count
2012-07,52
2012-08,54
2012-09,45
2012-10,53
2012-11,44
2012-12,52
2013-01,50
2013-02,53
2013-03,55
2013-04,45
2013-05,59
2013-06,37
2013-07,59
2013-08,35
2013-09,43
2013-10,45
2013-11,42
2013-12,59
2014-01,43
2014-02,40
2014-03,29
2014-04,33
2014-05,55
2014-06,60
2014-07,58
2014-08,49
2014-09,49
2014-10,54
2014-11,40
2014-12,49
2015-01,50
2015-02,39
2015-03,51
2015-04,59
2015-05,61
2015-06,60
2015-07,52
2015-08,41
2015-09,58
2015-10,54
2015-11,59
2015-12,46
2016-01,62
2016-02,56
2016-03,30
2016-04,29
2016-05,47
2016-06,56
2016-07,48
2016-08,52
2016-09,54
2016-10,44
2016-11,50
2016-12,65
2017-01,58
2017-02,61
2017-03,60
2017-04,71
2017-05,58
2017-06,65
2017-07,68
2017-08,70
2017-09,75
2017-10,56
2017-11,67
2017-12,68
2018-01,59
2018-02,54
2018-03,54
2018-04,64
2018-05,75
2018-06,74
2018-07,71
2018-08,66
2018-09,70
2018-10,55
2018-11,59
2018-12,58
2019-01,56
2019-02,55
2019-03,51
2019-04,59
2019-05,63
2019-06,76
2019-07,57
2019-08,74
2019-09,56
2019-10,72
2019-11,60
2019-12,62
2020-01,60
2020-02,56
2020-03,50
2020-04,43
2020-05,57
2020-06,71
2020-07,73
2020-08,85
2020-09,78
2020-10,91
2020-11,69
2020-12,66
2021-01,66
2021-02,53
2021-03,73
2021-04,73
2021-05,79
2021-06,91
2021-07,72
2021-08,89
2021-09,75
2021-10,83
2021-11,77
2021-12,76
2022-01,78
2022-02,40
2022-03,64
2022-04,60
2022-05,61
2022-06,67
2022-07,68
2022-08,52
2022-09,59
2022-10,51
2022-11,66
2022-12,52
2023-01,58
2023-02,53
2023-03,57
2023-04,67
2023-05,58
2023-06,49
2023-07,50
2023-08,58
2023-09,50
2023-10,64
2023-11,34
2023-12,54
2024-01,48
2024-02,44
2024-03,57
2024-04,45
2024-05,46
2024-06,60
2024-07,33
2024-08,6
